			   7.0M Z=0.02 VW-M 		
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
    n14    1.444E-01  1.470E-01   1.752E+00   1.440E-01  1.466E-01   1.751E+00
    n15   -5.484E-06  4.401E-06  -3.515E-01  -5.491E-06  4.394E-06  -3.521E-01
    o16   -1.360E-02  1.001E-02  -3.728E-01  -1.341E-02  1.020E-02  -3.644E-01
    o17    2.717E-05  3.641E-05   5.956E-01   2.709E-05  3.633E-05   5.947E-01
    o18   -5.014E-05  1.342E-06  -1.584E+00  -5.014E-05  1.342E-06  -1.584E+00
    f19   -9.177E-07  4.126E-07  -5.085E-01  -6.849E-07  6.453E-07  -3.142E-01
   ne20    2.069E-04  4.520E-03   2.033E-02   2.188E-04  4.532E-03   2.147E-02
   ne21   -9.843E-06  1.164E-06  -9.757E-01  -8.476E-06  2.531E-06  -6.384E-01
   ne22    4.122E-03  4.468E-03   1.110E+00   4.249E-03  4.596E-03   1.123E+00
   na23    6.249E-05  1.573E-04   2.197E-01   6.943E-05  1.643E-04   2.385E-01
   mg24   -1.153E-03  2.373E-04  -7.678E-01  -1.147E-03  2.430E-04  -7.575E-01
   mg25    2.614E-03  2.798E-03   1.183E+00   2.751E-03  2.934E-03   1.204E+00
   mg26    4.999E-03  5.209E-03   1.395E+00   5.478E-03  5.688E-03   1.433E+00
   al26    1.414E-04  1.414E-04   0.000E+00   1.411E-04  1.411E-04   0.000E+00
   al27    2.629E-04  4.166E-04   4.330E-01   2.733E-04  4.270E-04   4.437E-01
   si28    1.964E-04  1.963E-03   4.575E-02   2.095E-04  1.976E-03   4.863E-02
   si29    4.991E-05  1.426E-04   1.870E-01   5.309E-05  1.458E-04   1.966E-01
   si30    9.744E-05  1.611E-04   4.032E-01   1.038E-04  1.674E-04   4.200E-01
    p31    2.575E-05  4.260E-05   4.027E-01   2.763E-05  4.448E-05   4.214E-01
    s32   -4.140E-05  1.213E-03  -1.460E-02  -4.340E-05  1.211E-03  -1.532E-02
    s33    3.422E-07  1.055E-05   1.430E-02   3.530E-07  1.056E-05   1.474E-02
    s34   -2.823E-05  4.823E-04  -2.473E-02  -2.939E-05  4.811E-04  -2.577E-02
    s35    3.229E-05  3.229E-05   0.000E+00   3.369E-05  3.369E-05   0.000E+00
   fe54   -1.274E-05  1.783E-04  -3.000E-02  -1.320E-05  1.779E-04  -3.112E-02
   fe55    4.751E-07  4.751E-07   0.000E+00   4.738E-07  4.738E-07   0.000E+00
   fe56   -1.874E-04  2.946E-03  -2.681E-02  -1.950E-04  2.938E-03  -2.793E-02
   fe57    1.368E-06  7.785E-05   7.671E-03   1.193E-06  7.768E-05   6.693E-03
