                          6.5M Z=0.001 B95
 Species   Yield       MassExp     ProdFact    E-Yield   E-MassExp  E-ProdFact
   ni58   -5.809E-09  1.662E-06  -1.541E-03  -5.900E-09  1.662E-06  -1.565E-03
   ni60   -7.132E-10  6.590E-07  -4.959E-04  -7.449E-10  6.590E-07  -5.168E-04
   ni61    1.112E-07  1.402E-07   6.838E-01   1.128E-07  1.419E-07   6.889E-01
   ni62   -9.306E-08  6.945E-10  -2.130E+00  -9.306E-08  6.945E-10  -2.130E+00
      g    4.197E-09  5.902E-09   5.394E-01   4.601E-09  6.305E-09   5.681E-01
                          7.5M Z=10-4 B95
 Species    Yield     MassExp     ProdFac     E-Yield    E-MassExp   E-ProdFac
      p   -6.641E-01  4.063E+00  -6.578E-02  -6.644E-01  4.062E+00  -6.581E-02
    he3    1.688E-05  1.688E-05   0.000E+00   1.688E-05  1.688E-05   0.000E+00
    he4    6.516E-01  2.211E+00   1.516E-01   6.517E-01  2.211E+00   1.517E-01
    li7    1.299E-07  1.365E-07   1.315E+00   1.299E-07  1.365E-07   1.315E+00
    c12    7.296E-04  8.442E-04   8.672E-01   9.007E-04  1.015E-03   9.474E-01
    c13    2.396E-04  2.409E-04   2.271E+00   2.396E-04  2.409E-04   2.271E+00
    n14    9.474E-03  9.509E-03   2.432E+00   9.473E-03  9.509E-03   2.432E+00
    n15    2.155E-06  2.285E-06   1.244E+00   2.155E-06  2.285E-06   1.244E+00
    o16    2.007E-03  2.326E-03   8.624E-01   2.017E-03  2.337E-03   8.644E-01
    o17    1.463E-05  1.475E-05   2.083E+00   1.463E-05  1.475E-05   2.083E+00
    o18   -6.581E-07  2.087E-08  -1.512E+00  -6.581E-07  2.087E-08  -1.512E+00
    f19   -1.449E-08  3.054E-09  -7.594E-01  -1.365E-08  3.893E-09  -6.539E-01
   ne20    3.876E-07  5.727E-05   2.924E-03   6.892E-07  5.757E-05   5.205E-03
   ne21   -1.350E-07  1.021E-08  -1.153E+00  -1.236E-07  2.160E-08  -8.276E-01
   ne22    6.955E-06  1.152E-05   4.017E-01   7.548E-06  1.212E-05   4.235E-01
   na23    1.728E-06  2.979E-06   3.768E-01   1.745E-06  2.996E-06   3.792E-01
   mg24   -1.401E-05  4.321E-06  -6.277E-01  -1.399E-05  4.340E-06  -6.257E-01
   mg25    1.576E-05  1.818E-05   8.760E-01   1.598E-05  1.840E-05   8.812E-01
   mg26    1.183E-06  3.951E-06   1.544E-01   2.095E-06  4.864E-06   2.447E-01
   al26    2.407E-07  2.407E-07   0.000E+00   2.407E-07  2.407E-07   0.000E+00
   al27    4.254E-07  2.452E-06   8.272E-02   4.413E-07  2.468E-06   8.553E-02
   si28    3.856E-07  2.369E-05   7.100E-03   3.991E-07  2.370E-05   7.348E-03
   si29   -8.815E-09  1.214E-06  -3.169E-03  -6.561E-09  1.216E-06  -2.363E-03
   si30    6.170E-10  8.401E-07   2.931E-04   4.621E-09  8.441E-07   2.358E-03
    p31    2.499E-08  2.473E-07   4.622E-02   2.644E-08  2.488E-07   4.877E-02
    s32   -4.133E-09  1.653E-05  -1.346E-04  -4.777E-09  1.653E-05  -1.515E-04
